Time (s)	WE(1).Current (A)	WE(1).Potential (V)	Scan
186.435265529296	-6.292724609375E-05	-1.46240234375	3
186.459665529235	-6.2896728515625E-05	-1.46514892578125	3
186.484065529173	-6.292724609375E-05	-1.46759033203125	3
186.508465529111	-6.3018798828125E-05	-1.4703369140625	3
186.53286552905	-6.292724609375E-05	-1.47308349609375	3
186.557265528988	-6.2957763671875E-05	-1.474609375	3
186.581665528927	-6.292724609375E-05	-1.47735595703125	3
186.606065528865	-6.2957763671875E-05	-1.4801025390625	3
186.630465528803	-6.2957763671875E-05	-1.48223876953125	3
186.654865528742	-6.2957763671875E-05	-1.4849853515625	3
186.67926552868	-6.2957763671875E-05	-1.4874267578125	3
186.703665528619	-6.3018798828125E-05	-1.4892578125	3
186.728065528557	-6.3018798828125E-05	-1.49169921875	3
186.752465528495	-6.3018798828125E-05	-1.494140625	3
186.776865528434	-6.3018798828125E-05	-1.4971923828125	3
186.801265528372	-6.3018798828125E-05	-1.4996337890625	3
186.825665528311	-6.304931640625E-05	-1.50177001953125	3
186.850065528249	-6.3079833984375E-05	-1.50421142578125	3
186.874465528187	-6.3079833984375E-05	-1.5057373046875	3
186.898865528126	-6.3140869140625E-05	-1.5087890625	3
186.923265528064	-6.3140869140625E-05	-1.5118408203125	3
186.947665528003	-6.317138671875E-05	-1.513671875	3
186.972065527941	-6.3201904296875E-05	-1.51611328125	3
186.996465527879	-6.3201904296875E-05	-1.5191650390625	3
187.020865527818	-6.3262939453125E-05	-1.5216064453125	3
187.045265527756	-6.329345703125E-05	-1.5234375	3
187.069665527695	-6.3323974609375E-05	-1.52618408203125	3
187.094065527633	-6.3323974609375E-05	-1.5283203125	3
187.118465527571	-6.3385009765625E-05	-1.5313720703125	3
187.14286552751	-6.3507080078125E-05	-1.533203125	3
187.167265527448	-6.34765625E-05	-1.53594970703125	3
187.191665527386	-6.3507080078125E-05	-1.5386962890625	3
187.216065527325	-6.3568115234375E-05	-1.5411376953125	3
187.240465527263	-6.35986328125E-05	-1.5435791015625	3
187.264865527202	-6.3690185546875E-05	-1.54571533203125	3
187.28926552714	-6.3690185546875E-05	-1.5478515625	3
187.313665527078	-6.378173828125E-05	-1.55029296875	3
187.338065527017	-6.3751220703125E-05	-1.55303955078125	3
187.362465526955	-6.3812255859375E-05	-1.55517578125	3
187.386865526894	-6.40869140625E-05	-1.5576171875	3
187.411265526832	-6.40869140625E-05	-1.56005859375	3
187.43566552677	-6.40869140625E-05	-1.5625	3
